TimeDeath     ID      Tj      Df      Dd      Db
401     2201     91     46     264     310     AS
403     2501     210     18     175     193     AS
403     2364     150     13     240     253     AS
403     2993     394     6     3     9     AM
404     2994     394     5     5     10     AM
406     2282     123     45     238     283     AD
406     2473     193     29     184     213     AD
408     2988     393     0     15     15     AM
408     2987     393     0     15     15     AM
410     2976     387     3     20     23     AM
412     2672     275     23     114     137     AS
412     2958     379     0     33     33     AM
412     2207     91     0     321     321     AD
412     2954     379     0     33     33     AM
414     2949     377     0     37     37     AM
415     2950     377     0     38     38     AM
416     2320     136     36     244     280     AD
416     2485     199     30     187     217     AD
416     996     349     0     67     67     ET
417     2487     199     0     218     218     AD
417     2943     376     0     41     41     AM
418     2942     376     0     42     42     AM
420     2941     376     42     2     44     AM
421     2934     375     0     46     46     AM
423     2898     365     8     50     58     AM
423     2900     365     6     52     58     AM
424     2890     363     0     61     61     AM
426     2463     189     53     184     237     AS
426     2894     363     0     63     63     AM
426     2848     342     5     79     84     AM
427     2273     121     15     291     306     AS
427     2274     121     15     291     306     AS
428     2811     322     0     106     106     AM
429     2552     226     19     184     203     AS
429     2554     226     63     140     203     AS
429     2806     320     0     109     109     AM
430     2642     268     45     117     162     AS
430     2805     320     0     110     110     AM
430     2810     322     19     89     108     AM
432     2659     272     0     160     160     AD
433     2496     210     18     205     223     AS
433     2498     210     18     205     223     AS
433     2803     320     111     2     113     AM
433     2804     320     110     3     113     AM
437     2560     230     20     187     207     AS
437     2793     315     4     118     122     AM
438     2802     320     114     4     118     AM
439     2397     164     30     245     275     AS
439     2794     315     4     120     124     AM
441     2731     297     25     119     144     AS
441     2732     297     25     119     144     AS
442     2792     315     124     3     127     AM
442     2784     314     0     128     128     AM
443     2677     275     23     145     168     AS
443     2377     156     47     240     287     AD
443     2785     314     0     129     129     AM
445     2781     313     0     132     132     AM
445     2780     313     0     132     132     AM
445     2428     177     0     268     268     AD
446     2770     310     0     136     136     AM
447     2779     313     132     2     134     AM
448     2760     309     0     139     139     AM
448     2380     156     50     242     292     AD
449     2344     142     41     266     307     AS
449     2755     308     0     141     141     AM
450     2314     133     11     306     317     AS
451     2467     191     18     242     260     AM
451     2459     189     0     262     262     AM
452     2122     65     1     386     387     AS
453     2384     159     14     280     294     AS
453     2759     308     0     145     145     AM
454     2764     309     26     119     145     AS
454     2461     189     0     265     265     AM
455     2389     159     14     282     296     AS
455     2429     177     5     273     278     AM
456     2451     185     0     271     271     AM
457     2230     97     92     268     360     AS
457     2458     189     264     4     268     AM
458     2354     148     42     268     310     AS
459     2410     172     1     286     287     AM
459     2413     172     0     287     287     AM
460     2557     226     63     171     234     AS
460     2405     167     0     293     293     AM
460     2403     167     3     290     293     AM
461     2510     213     0     248     248     AD
461     2394     164     0     297     297     AM
461     2516     214     30     217     247     AD
462     2398     164     0     298     298     AM
463     2465     191     17     255     272     AS
464     2430     177     114     173     287     AS
464     2402     167     293     4     297     AM
465     2370     154     0     311     311     AM
465     2378     156     307     2     309     AM
465     2607     245     0     220     220     AD
466     2520     216     31     219     250     AD
467     2373     154     0     313     313     AM
470     2533     220     0     250     250     AD
470     2369     154     312     4     316     AM
471     2355     148     0     323     323     AM
471     2368     154     313     4     317     AM
472     2185     86     54     332     386     AS
472     2362     150     3     319     322     AM
474     2353     148     0     326     326     AM
476     2374     154     43     279     322     AS
476     2690     277     79     120     199     AS
476     2331     138     9     329     338     AM
477     2401     167     15     295     310     AS
477     2442     183     15     279     294     AS
478     2329     138     337     3     340     AM
479     2297     130     0     349     349     AM
480     2598     238     67     175     242     AS
480     2599     238     43     199     242     AS
480     2488     202     17     261     278     AS
480     2328     138     339     3     342     AM
480     2326     136     0     344     344     AM
481     2295     128     0     353     353     AM
482     2556     226     75     181     256     AD
482     2292     128     0     354     354     AM
484     2456     189     16     279     295     AS
486     2296     130     350     6     356     AM
487     2603     245     94     148     242     AS
487     2278     121     0     366     366     AM
488     2641     268     21     199     220     AS
488     2252     118     0     370     370     AM
489     2219     96     18     375     393     AM
490     2289     128     355     7     362     AM
491     2719     290     24     177     201     AS
491     2360     150     119     222     341     AS
492     2474     193     17     282     299     AS
492     2213     94     0     398     398     AM
494     2933     375     30     89     119     AS
495     2589     235     80     180     260     AD
495     2218     96     394     5     399     AM
495     989     348     0     147     147     ET
497     2680     276     41     180     221     AD
497     2202     91     402     4     406     AM
498     2197     88     0     410     410     AM
498     2198     88     0     410     410     AM
499     2815     322     57     120     177     AS
500     2509     213     85     202     287     AS
500     2200     91     405     4     409     AM
501     2684     276     24     201     225     AS
501     2685     276     24     201     225     AS
501     2334     138     18     345     363     AD
502     2580     233     21     248     269     AS
502     2191     86     0     416     416     AM
502     2192     88     411     3     414     AM
503     2445     183     15     305     320     AS
503     2190     86     0     417     417     AM
505     2587     235     22     248     270     AS
505     2335     138     0     367     367     AD
505     2188     86     416     3     419     AM
505     2440     183     57     265     322     AD
506     2595     238     21     247     268     AS
